review_id,reviewer_id,product_name,rating,is_recommended,review_text,fake_probability,uncertainty,your_label,label_notes
34992,RID_5752374075,"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",4,TRUE,Great product will recommend it to friends and family.,0.4999916,0.9999832,G,
35461,RID_5752374075,"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",4,TRUE,Great product will recommend it to friends and family.,0.4999916,0.9999832,G,
5401,RID_2465304748,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",4,TRUE,"FOR the price it works great Battery run time could be better. Good for reading Kindle books, when my kindle white page isn't handy.",0.4999709,0.9999418,G,
25696,RID_2738702691,"Amazon Fire Tv,,,
Amazon Fire Tv,,,",5,TRUE,"Wow I was missing out on all the fun and convenient application this little thing can do. I thought oh like a toy and Ill get tired of it, wrong. I now have lights set to it, drop in on friends, ask any question I need answers to, get step by step recipes, just a thousand things, to many to list. Get yourself one, its awesome!",0.50005454,0.9998909,G,
25935,RID_7115581434,"Amazon Fire Tv,,,
Amazon Fire Tv,,,",3,TRUE,"little more complicated than i thought ,had to buy a harmony remote for tv to do what i wanted it to do.commands must be very specific",0.5000612,0.9998776,G,
17687,RID_6299825004,"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",4,TRUE,Works great! Love modern technology. Easily to transport in a purse.,0.49993616,0.9998723,G,
18414,RID_7713133211,"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",5,TRUE,This is my third kindle. I love the built in light. My first was bitten by my sister's dog (leather case) and my second wore out. I also like that I can use the Kindle app on any device and pick up where I left off.,0.49993515,0.9998703,G,
9017,RID_7482872100,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",5,TRUE,This is a great tablet for the price. Great for traveling!,0.4999318,0.9998636,G,
6145,RID_6441396178,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",5,TRUE,I love my Kendle Fire. Fits in my purse perfectly. Always have books on hand.,0.49992442,0.99984884,G,
8694,RID_1720500217,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",5,TRUE,Nice tablet for the price. My son liked it. Was easy to use,0.5000847,0.9998306,G,
